代 码,转债名称,现 价,溢价率,市净率,评级,剩余年限,双低,操作,建仓价,盈亏
123063,大禹转债,119.200,3.00%,2.67,AA-,5.019,122.20,建仓,119.200,0%
128013,洪涛转债,107.021,3.45%,1.08,A-,1.022,110.47,持仓,107.048,-0.0%
128087,孚日转债,103.500,10.11%,1.06,AA-,4.411,113.61,持仓,103.089,0.4%
113033,利群转债,100.990,13.09%,1.10,AA,4.696,114.08,持仓,100.880,0.1%
128085,鸿达转债,113.187,1.28%,1.52,B,4.408,114.47,持仓,112.470,0.6%
113549,白电转债,110.380,10.13%,1.45,AA,4.321,120.51,持仓,109.890,0.4%
110071,湖盐转债,114.700,6.38%,2.37,AA,4.970,121.08,持仓,113.130,1.4%
127034,绿茵转债,106.900,14.19%,1.69,AA-,5.775,121.09,持仓,106.300,0.6%
113609,永安转债,116.740,5.08%,1.25,AA-,5.345,121.82,持仓,116.480,0.2%
127028,英特转债,108.400,13.66%,1.76,AA+,5.460,122.06,持仓,108.285,0.1%
128081,海亮转债,114.499,8.03%,2.00,AA,4.340,122.53,持仓,114.464,0.0%
123087,明电转债,110.620,12.34%,2.99,AA-,5.403,122.96,持仓,109.310,1.2%
128066,亚泰转债,103.299,19.70%,1.34,AA-,3.742,123.00,持仓,103.100,0.2%
127020,中金转债,114.680,8.36%,1.39,AA+,4.997,123.04,持仓,113.050,1.4%
123097,美力转债,118.680,4.59%,2.46,A+,5.521,123.27,持仓,117.780,0.8%
113039,嘉泽转债,119.440,4.10%,2.46,AA,5.093,123.54,持仓,116.850,2.2%
127035,濮耐转债,111.151,12.42%,1.45,AA,4.847,123.57,持仓,110.300,0.8%
123082,北陆转债,112.696,10.93%,2.46,A+,5.381,123.63,持仓,112.180,0.5%
128037,岩土转债,107.465,16.89%,1.25,AA,2.652,124.36,持仓,107.450,0.0%
113610,灵康转债,118.470,5.92%,4.54,AA-,5.364,124.39,持仓,117.260,1.0%
128141,旺能转债,115.783,9.48%,1.45,AA,5.408,125.26,清仓,115.317,0.4%
